City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
57,Severo-Yeniseyskiy,CL,2022-04-28 02:36:55,-45.5752,-72.0662,30.15,86,20,3.44
58,Severo-Yeniseyskiy,AU,2022-04-28 02:36:55,-38.2667,141.9667,72.32,56,100,14.05
59,Severo-Yeniseyskiy,RU,2022-04-28 02:36:56,50.6789,156.125,32.94,87,83,22.97
60,Severo-Yeniseyskiy,CK,2022-04-28 02:36:56,-21.2078,-159.775,82.45,83,20,9.22
61,Severo-Yeniseyskiy,PT,2022-04-28 02:36:57,40.1629,-8.3327,53.08,99,29,1.52
62,Severo-Yeniseyskiy,RU,2022-04-28 02:36:57,50.3,87.7333,32.02,54,8,2.62
63,Severo-Yeniseyskiy,BR,2022-04-28 02:36:58,-1.195,-46.02,75.63,92,97,4.47
64,Severo-Yeniseyskiy,ZA,2022-04-28 02:36:58,-34.4187,19.2345,57.29,73,0,7.52
65,Severo-Yeniseyskiy,BR,2022-04-28 02:36:58,-15.9653,-54.9683,69.58,68,5,2.98
66,Severo-Yeniseyskiy,BR,2022-04-28 02:36:59,-24.7911,-50.0119,62.96,88,100,3.89
67,Severo-Yeniseyskiy,CL,2022-04-28 02:36:59,-38.9833,-72.65,39.22,100,20,5.75
68,Severo-Yeniseyskiy,MU,2022-04-28 02:36:59,-20.4081,57.7,73.26,94,20,5.75
69,Severo-Yeniseyskiy,RU,2022-04-28 02:37:00,52.2667,79.1667,59.34,41,89,7.05
70,Severo-Yeniseyskiy,KE,2022-04-28 02:37:00,-0.3677,35.2831,55.65,96,100,3.29
71,Severo-Yeniseyskiy,NZ,2022-04-28 02:37:00,-46.6,168.3333,54.81,66,89,5.95
72,Severo-Yeniseyskiy,AU,2022-04-28 02:37:01,-24.8667,113.6333,73.47,60,24,12.66
73,Severo-Yeniseyskiy,RU,2022-04-28 02:37:01,70.6333,147.9167,16.95,90,100,8.5
74,Severo-Yeniseyskiy,ID,2022-04-28 02:37:02,-5.6667,132.75,85.17,71,100,13.02
75,Severo-Yeniseyskiy,ZA,2022-04-28 02:37:02,-33.0153,27.9116,58.55,63,0,5.46
76,Severo-Yeniseyskiy,RE,2022-04-28 02:37:03,-21.3393,55.4781,72.28,61,0,6.91
77,Severo-Yeniseyskiy,PT,2022-04-28 02:37:03,37.7167,-25.4333,67.19,94,100,19.57
78,Severo-Yeniseyskiy,NZ,2022-04-28 02:37:03,-35.1667,173.1667,61.9,81,81,6.13
79,Severo-Yeniseyskiy,IN,2022-04-28 02:37:04,10.5669,72.642,84.88,74,86,3.58
80,Severo-Yeniseyskiy,TO,2022-04-28 02:35:55,-21.2,-175.2,80.76,57,40,10.36
81,Severo-Yeniseyskiy,CA,2022-04-28 02:35:56,62.456,-114.3525,48.72,43,75,10.36
82,Severo-Yeniseyskiy,FR,2022-04-28 02:37:04,47.8051,-3.2734,53.71,79,0,11.5
83,Severo-Yeniseyskiy,US,2022-04-28 02:37:05,28.4058,-80.6048,77.05,82,75,8.05
84,Severo-Yeniseyskiy,MG,2022-04-28 02:37:05,-23.35,47.6,68.05,71,0,12.24
85,Severo-Yeniseyskiy,AR,2022-04-28 02:37:02,-38.0023,-57.5575,57.87,53,0,8.05
86,Severo-Yeniseyskiy,RU,2022-04-28 02:37:06,68.0531,39.5131,23.38,83,100,23.51
87,Severo-Yeniseyskiy,RU,2022-04-28 02:37:06,63.3667,47.9167,20.14,82,15,6.49
88,Severo-Yeniseyskiy,CN,2022-04-28 02:37:06,22.1975,109.9419,86.56,62,24,11.48
89,Severo-Yeniseyskiy,US,2022-04-28 02:37:07,29.9502,-91.7507,68.0,49,0,3.44
90,Severo-Yeniseyskiy,BR,2022-04-28 02:37:07,-29.7456,-50.0097,71.62,90,56,5.84
